Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
63.350.207.145.2.322,False,False,True,645286,,Drawings and Prints,1963,Print,"Lillian Russell, from the Actors and Actresses series (N145-2) issued by Duke Sons & Co. to promote Cross Cut Cigarettes",,,,,,10567,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.", ,"Duke, W. Sons & Co.",American,1870      ,1920      ,,(not assigned),https://www.wikidata.org/wiki/Q66734555,1880s,1880,1889,Albumen photograph,Sheet: 2 5/8 × 1 7/16 in. (6.6 × 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/645286,,,"Metropolitan Museum of Art, New York, NY",Portraits|Women|Actresses,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025658,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q21169216
1994.254.832,False,False,False,274228,,Photographs,1994,Negative,"[Steamboat Capitol, New Orleans, Louisiana]",,,,,,16186,Artist, ,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut", ,"Evans, Walker",American,1903      ,1975      ,,http://vocab.getty.edu/page/ulan/500012076,https://www.wikidata.org/wiki/Q363308,February–March 1935,1935,1935,Film negative,4 x 5 in.,"Walker Evans Archive, 1994",,,,,,,,,,,,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/274228,,,"Metropolitan Museum of Art, New York, NY",Boats,http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q35872
46.140.133,False,False,False,3780,774,The American Wing,1946,Tumbler,Tumbler,American,,,,,122,Maker, ,"Bakewell, Pears and Company",1836–1882, ,"Bakewell, Pears and Company ",American,1836      ,1882      ,,,,1850–70,1850,1870,Pressed glass,H. 4 5/16 in. (11 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3780,https://www.wikidata.org/wiki/Q116391920,,"Metropolitan Museum of Art, New York, NY",,,
2014.103,False,False,True,428608,,Drawings and Prints,2014,Drawing,"A Personification of Charity Seated on a Cloud, Surrounded by Putti",,,,,,699361065889163,Former Attribution|Artist|Artist, | |Attributed to,Friedrich Sustris|Monogrammist HSK|Hans Krumpper,"Netherlandish (possibly born Italy), Venice (?) ca. 1540–1599 Munich|German, active ca. 1590–1600|German, Weilheim ca. 1570–1643 Munich", | | ,"Sustris, Friedrich|Monogrammist HSK|Krumpper, Hans","Netherlandish, born Italy (?)|German|German",1535      |1590      |1570      ,1599      |1600      |1643      ,||,http://vocab.getty.edu/page/ulan/500019273||http://vocab.getty.edu/page/ulan/500028013,https://www.wikidata.org/wiki/Q67350||https://www.wikidata.org/wiki/Q91771,ca. 1590–1600,1585,1605,"Pen and black ink, brush and gray ink; oval framing line in pen and black ink",Sheet: 7 1/4 × 9 1/4 in. (18.4 × 23.5 cm),"Purchase, Daniel Ergmann Gift, 2014",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/428608,,,"Metropolitan Museum of Art, New York, NY",Putti|Women,http://vocab.getty.edu/page/aat/300250465|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q284865|https://www.wikidata.org/wiki/Q467
50.158,False,False,True,468331,,The Cloisters,1950,Lectern,Lectern,Spanish,,,,,,,,,,,,,,,,,,16th century,1500,1599,Iron,"H: 53""  W: 20 1/4""  D: 22""  (134.6 x 51.4 x 55.9cm)","Gift of Silberman Galleries, 1950",,,,,,,,,,,,Metalwork-Iron,,http://www.metmuseum.org/art/collection/search/468331,,,"Metropolitan Museum of Art, New York, NY",,,
22.1.1961,False,False,False,590401,113,Egyptian Art,1922,"Fragment, clay section",Faience workshop refuse,,Late Middle Kingdom–Early New Kingdom,"Dynasty 13–18, early",,,,,,,,,,,,,,,,ca. 1802–1450 B.C.,-1802,-1802,Low-fired whitish clay,,"Rogers Fund and Edward S. Harkness Gift, 1922",From,,,,Egypt,Memphite Region,Lisht North,"Cemetery south of pyramid, House A1","so-called ""faience factory""","MMA excavations, 1920–22",,,,http://www.metmuseum.org/art/collection/search/590401,https://www.wikidata.org/wiki/Q116443673,,"Metropolitan Museum of Art, New York, NY",,,
1975.1.1469,False,False,True,460876,,Robert Lehman Collection,1975,Firedog,Firedog,French (?),,,,,,,,,,,,,,,,,,model mid-16th century (possibly cast 19th century),1536,1570,Cast iron,H. 68 cm.,"Robert Lehman Collection, 1975",,,,,,,,,,,,Metalwork,,http://www.metmuseum.org/art/collection/search/460876,,,"Metropolitan Museum of Art, New York, NY",,,
"59.51a, b",False,True,True,548358,124,Egyptian Art,1959,"Relief, Ramesses IX",Relief of Ramesses IX,,"New Kingdom, Ramesside",Dynasty 20,reign of Ramesses IX,,,,,,,,,,,,,,,ca. 1126–1108 B.C.,-1126,-1126,Limestone,A: H. 46.1 × W. 29.5 × D. 5.3 cm (18 1/8 × 11 5/8 × 2 1/16 in.); B: H. 46.2 × W. 27 × D. 6.1 cm (18 3/16 × 10 5/8 × 2 3/8 in.),"Purchase, Frederick P. Huntley Bequest, 1959",From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/548358,https://www.wikidata.org/wiki/Q116415443,,"Metropolitan Museum of Art, New York, NY",Kings|Hieroglyphs,http://vocab.getty.edu/page/aat/300025481|http://vocab.getty.edu/page/aat/300028721,https://www.wikidata.org/wiki/Q12097|https://www.wikidata.org/wiki/Q193762
18.56.43,False,False,True,52583,,Asian Art,1918,Saucer,唐  緑釉陶碗|Saucer,China,Tang dynasty (618–907),,,,,,,,,,,,,,,,,ca. 9th century,850,950,Earthenware with pale green glaze,H. 1 1/2 in. (3.8 cm); Diam. 5 1/4 in. (13.3 cm),"Rogers Fund, 1918",,,,,,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/52583,,,"Metropolitan Museum of Art, New York, NY",,,
"12.37.129a, b",False,False,False,45836,,Asian Art,1912,Figure,,Japan,,,,,1351,Artist, ,Gempin,"Chinese, died 1771", ,Gempin,Chinese,1671      ,1771      ,,,,,1671,1771,Stoneware,H. 32 1/4 in. (81.9 cm),"Rogers Fund, 1912",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/45836,,,"Metropolitan Museum of Art, New York, NY",,,
35.31.1a–c,False,False,True,436897,,European Paintings,1935,"Painting, altarpiece",Saint Lawrence Enthroned with Saints and Donors,,,,,,10793,Artist, ,Fra Filippo Lippi,"Italian, Florence ca. 1406–1469 Spoleto", ,"Lippi, Fra Filippo",Italian,1406      ,1469      ,,http://vocab.getty.edu/page/ulan/500019158,https://www.wikidata.org/wiki/Q205148,1440s,1440,1449,"Tempera on wood, gold ground","Central panel (a), overall, with arched top and added strips, 47 3/4 x 45 1/2 in. (121.3 x 115.6 cm); right panel (b) 28 1/2 x 15 3/8 in. (72.4 x 39.1 cm); left panel (c) 28 1/2 x 15 1/2 in. (72.4 x 39.4 cm) [panels substantially altered in size and shape","Rogers Fund, 1935",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436897,https://www.wikidata.org/wiki/Q3538918,,"Metropolitan Museum of Art, New York, NY",Men|Saint Lawrence|Saints,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ia/901001055|http://vocab.getty.edu/page/aat/300150555,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q17590|https://www.wikidata.org/wiki/Q43115
63.350.220.245.1122,False,False,True,655322,,Drawings and Prints,1963,Photograph,"Miss Lantelme, from the Actresses series (N245) issued by Kinney Brothers to promote Sweet Caporal Cigarettes",,,,,,17537,Publisher,Issued by,Kinney Brothers Tobacco Company, , ,Kinney Brothers Tobacco Company,American,1869      ,2011      ,,,,1890,1890,1890,Albumen photograph,Sheet: 2 1/2 × 1 7/16 in. (6.4 × 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/655322,,,"Metropolitan Museum of Art, New York, NY",Portraits|Women|Actresses,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025658,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q21169216
26.31.344,False,False,False,252293,,Greek and Roman Art,1926,"Seal, lentoid","Seal, lentoid",Minoan,Late Minoan IIIA,,,,,,,,,,,,,,,,,ca. 1400–1375 BCE,-1400,-1375,Steatite,Other: 11/16 x 1/4 in. (1.7 x 0.6 cm),"Bequest of Richard B. Seager, 1926",,,,,,,,,,,,Gems,,http://www.metmuseum.org/art/collection/search/252293,,,"Metropolitan Museum of Art, New York, NY",,,
24.90.1781(6),False,False,False,895013,,Drawings and Prints,1924,Print,General Gates,,,,,"American Legislators, Patriots and Soldiers who have distinguished themselves in rendering their Country Independent, published London",8034594363803448034,Engraver|Sitter|Artist|Publisher, | |After| ,Burnet Reading|Horatio Gates|Pierre Eugène du Simitière|William Richardson,"British, Colchester, Essex active 1780–1820|American (born England), Maldon, Essex 1727–1806 New York|American (born Switzerland), Geneva 1737–1784 Philadelphia, Pennsylvania|British, active 1778–1812", | | | ,"Reading, Burnet|Gates, Horatio|du Simitière, Pierre Eugène|Richardson, William","British|American|American, born Switzerland|British",1780      |1727      |1737      |1778      ,1820      |1806      |1784      |1812      ,|||,||http://vocab.getty.edu/page/ulan/500019696|,||https://www.wikidata.org/wiki/Q527977|,"May 10, 1783",1783,1783,"Stipple engraving, printed in dark orange-brown ink","Image: 2 15/16 × 2 3/8 in. (7.4 × 6 cm)
Plate: 6 3/8 × 5 9/16 in. (16.2 × 14.2 cm)
Sheet: 11 9/16 × 8 7/16 in. (29.4 × 21.4 cm)","Bequest of Charles Allen Munn, 1924",,London,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/895013,,,"Metropolitan Museum of Art, New York, NY",,,
1972.118.146,False,False,True,255457,171,Greek and Roman Art,1972,Oinochoe,Terracotta oinochoe (jug),"Greek, Attic",Classical,,,,4922,Artist,Attributed to the,Richmond Painter,, ,Richmond Painter, ,          ,          ,,http://vocab.getty.edu/page/ulan/500008486,,ca. 450–425 BCE,-450,-425,Terracotta,"H. with handle 12 13/16 in. (32.5 cm)
H. without handle  9 5/8 in. (24.4 cm)
maximum width  5 7/16 in. (13.8 cm)
width at base of neck  2 11/16 in. (6.8 cm)
diameter of foot  3 7/16 in. (8.7 cm)","Bequest of Walter C. Baker, 1971",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/255457,https://www.wikidata.org/wiki/Q116287318,,"Metropolitan Museum of Art, New York, NY",Women|Poseidon,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901000198,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q41127
09.50.74,False,False,True,215475,,European Sculpture and Decorative Arts,1909,Band,Band,Italian or Greek,,,,,,,,,,,,,,,,,,16th–17th century,1500,1699,Silk on linen,"L. 14 1/4 x W. 4 inches
36.2 x 10.2 cm","Rogers Fund, 1909",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/215475,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.208.145.3.121,False,False,True,646422,,Drawings and Prints,1963,Photograph,"Card Number 596, Mrs. A. Maddick, from the Actors and Actresses series (N145-3) issued by Duke Sons & Co. to promote Cross Cut Cigarettes",,,,,,10567,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.", ,"Duke, W. Sons & Co.",American,1870      ,1920      ,,(not assigned),https://www.wikidata.org/wiki/Q66734555,1880s,1880,1889,Albumen photograph,Sheet: 2 11/16 × 1 3/8 in. (6.8 × 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/646422,,,"Metropolitan Museum of Art, New York, NY",Women|Actresses,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025658,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q21169216
JP1993,False,False,True,54705,,Asian Art,1929,Print,,Japan,Edo period (1615–1868),,,,1140,Artist, ,Kubo Shunman,"Japanese, 1757–1820", ,Kubo Shunman,Japanese,1757      ,1820      ,,http://vocab.getty.edu/page/ulan/500121370,https://www.wikidata.org/wiki/Q3200184,19th century,1800,1899,Woodblock print (surimono); ink and color on paper,8 5/16 x 7 3/8 in. (21.1 x 18.7 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54705,,,"Metropolitan Museum of Art, New York, NY",Horses|Hills|Landscapes|Snow,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300008777|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300055381,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q54050|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q7561
23.112.1899,False,False,True,379965,,Drawings and Prints,1923,Drawing,"Design for Tandem Cart, no. 818",,,,,,16517,Manufacturer, ,Brewster & Co.,"American, New York", ,Brewster & Co.,American,          ,          ,,,,1850–74,1850,1974,"Pen and black ink, watercolor and gouache with gum arabic",Sheet: 6 × 9 in. (15.2 × 22.9 cm),"Gift of William Brewster, 1923",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/379965,,,"Metropolitan Museum of Art, New York, NY",Carriages,http://vocab.getty.edu/page/aat/300185335,https://www.wikidata.org/wiki/Q235356
"32.100.294, .295",False,False,True,197136,,European Sculpture and Decorative Arts,1932,Knife and fork,Knife and fork,Dutch or British,,,,,,,,,,,,,,,,,,17th century,1600,1699,"Gold, enamel, steel","Length (knife .294): 6 1/16 in. (15.4 cm);
Length (fork .295): 6 5/16 in. (16 cm)","The Friedsam Collection, Bequest of Michael Friedsam, 1931",,,,,,,,,,,,Metalwork-Gold and Platinum,,http://www.metmuseum.org/art/collection/search/197136,,,"Metropolitan Museum of Art, New York, NY",,,
C.I.40.171.3a–f,False,False,True,103820,,Costume Institute,1940,Dance ensemble,Dance ensemble,American,,,,,,,,,,,,,,,,,,1880–89,1880,1889,"silk, wool",,"Gift of Mrs. Beaumont Newhall, in memory of A. Lillia Newhall, 1940",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/103820,,,"Metropolitan Museum of Art, New York, NY",,,
47.62.5,False,False,True,271902,,Photographs,1947,Glass positive,Frank MacDowell,,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844      ,1916      ,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,1880s,1880,1889,Glass positive ,,"Gift of Charles Bregler, 1947",,,,,,,,,,,,Transparencies,,http://www.metmuseum.org/art/collection/search/271902,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
36.82(10),False,False,False,839473,,Drawings and Prints,1936,Print,Landscape,,,,,,7629,Artist, ,Nicolas Cochin,"French, Troyes 1610–1686 Paris", ,"Cochin, Nicolas",French,1610      ,1686      ,,http://vocab.getty.edu/page/ulan/500015904,https://www.wikidata.org/wiki/Q7029580,17th century,1600,1699,Engraving,Sheet: 4 3/4 × 6 5/16 in. (12 × 16 cm),"Gift of Archer M. Huntington, 1936",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/839473,,,"Metropolitan Museum of Art, New York, NY",,,
1996.536,False,False,False,486777,,Modern and Contemporary Art,1996,Drawing,Untitled 11/27/82,,,,,,16395,Artist, ,Carroll Dunham,"American, born New Haven, Connecticut, 1949", ,"Dunham, Carroll",American,1949      ,9999      ,,http://vocab.getty.edu/page/ulan/500110733,https://www.wikidata.org/wiki/Q1045182,1982,1982,1982,Oilstick and graphite on printed paper (contact paper),8 7/8 × 7 7/8 in. (22.5 × 20 cm),"Gift of Mr. and Mrs. Walter Bareiss, 1996",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/486777,,,"Metropolitan Museum of Art, New York, NY",,,
89.18.260,False,False,True,443465,,Islamic Art,1889,Textile fragment,Textile Fragment,,,,,,,,,,,,,,,,,,,4th century,300,399,"Wool, linen; plain weave, tapestry weave","H. 20 1/2 in. (52 cm)
W. 4 3/4 in. (12 cm)","Purchase by subscription, 1889",Made in,,,,Egypt,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/443465,,,"Metropolitan Museum of Art, New York, NY",,,
1999.246.49,False,False,False,282801,,Photographs,1999,Photograph,[Lou Block],,,,,,1618695788,Artist|Person in Photograph, | ,Walker Evans|Lou Block,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut|American, 1895–1969", | ,"Evans, Walker|Block, Lou",American|American,1903      |1895      ,1975      |1969      ,|,http://vocab.getty.edu/page/ulan/500012076|(not assigned),https://www.wikidata.org/wiki/Q363308|https://www.wikidata.org/wiki/Q94413264,ca. 1934,1933,1935,Gelatin silver print,11.9 x 9.1 cm (4 11/16 x 3 9/16 in. ),"Anonymous Gift, 1999",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/282801,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
04.3.58,False,False,True,25076,,Arms and Armor,1904,Head of a ceremonial war hammer,Head of a Ceremonial War Hammer,possibly Italian or French,,,,,,,,,,,,,,,,,,ca. 1550 to ca. 1625,1550,1650,Steel,L. 8 3/4 in. (22.2 cm); W. 12 in. (30.5 cm),"Rogers Fund, 1904",,,,,,,,,,,,Shafted Weapons,,http://www.metmuseum.org/art/collection/search/25076,,,"Metropolitan Museum of Art, New York, NY",,,
25.30.20,False,False,False,356700,,Drawings and Prints,1925,Book,Operetta sopra i dieci commandamenti di Dio,,,,,,8710,Author,Written by,Girolamo Savonarola,"Italian, 1452–1498", ,"Savonarola, Girolamo",Italian,1452      ,1498      ,,(not assigned),https://www.wikidata.org/wiki/Q164823,"October 24, 1495",1495,1495,,,"Harris Brisbane Dick Fund, 1925",,Florence,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/356700,,,"Metropolitan Museum of Art, New York, NY",,,
